Checklist ID	Title	Sub model	Description	Priority	Bugs	Bug type	Status	Notes
CL-As-1	Ilovani ochish	Asosiy	Ilova ikonkasiga bosilganda ochilishi	High				
CL-As-2	Splash screen	Asosiy	Ilova ochilayotganda ICE CITY logotipi korinishi	Medium				
CL-As-3	Internet yoq	Asosiy	Internet yoqda tushunarli xabar korinishi	High				
CL-As-4	Ilova sikli	Asosiy	Fonga otkazilganda sessiya saqlanishi yopilganda login ekrani ochilishi	Medium				
CL-Lo-1	Login elementlari	Login	Til telefon maydoni Davom etish tugmasi korinishi	High				
CL-Lo-2	Telefon raqam	Login	Togri 9 xonali raqam qabul qilinishi harflar va kam raqam qabul qilinmasligi	High				
CL-Lo-3	Davom etish tugmasi	Login	Toliq raqamda faol bolishi toliq bolganda SMS ekraniga otishi	High				
CL-Sm-1	OTP kiritish	SMS tasdiqlash	Avtomatik keyingi maydonga otishi faqat raqam qabul qilinishi Backspace ishlashi	High				
CL-Sm-2	OTP tekshirish	SMS tasdiqlash	Notogri kodda xabar togri kodda Royxatdan otish ekrani ochilishi	High				
CL-Sm-3	Qayta yuborish	SMS tasdiqlash	Hisoblagich 0 da tugma faollashib yangi SMS yuborilishi	High				
CL-Rg-1	Rasm yuklash	Royxatdan otish	Galereya yoki kamera ochilishi tanlangan rasm doirada korinishi	Medium				
CL-Rg-2	FISH maydoni	Royxatdan otish	Toliq ism qabul qilinishi bosh va faqat raqamda xabar korinishi	High				
CL-Rg-3	Tugilgan sana	Royxatdan otish	Taqvimdan sana tanlanishi bosh qoldirilsa va kelajak sanada xabar korinishi	High				
CL-Rg-4	Jins tanlash	Royxatdan otish	Bittasi tanlanishi bir vaqtda ikkitasi tanlanmasligi tanlanmasa xabar	High				
CL-Rg-5	Tasdiqlash	Royxatdan otish	Bosh maydon bolganda nofaol hammasi toldirilganda Virtual karta ekraniga otishi	High				
CL-Vk-1	Karta holati	Virtual karta	Faol emas belgisi va minus 10 000 som balansi korinishi	High				
CL-Vk-2	Tolov usuli	Virtual karta	Click yoki Payme tanlanishi tanlanmasa Tasdiqlash nofaol	High				
CL-Vk-3	Tolov amalga oshishi	Virtual karta	Click yoki Payme orqali tolov muvaffaqiyatli otishi	High				
CL-Vk-4	Keyinroq toldirish	Virtual karta	Bosilganda Home page ochilishi	High				
CL-Hp-1	Home karta	Home page	Karta holati balansi raqami korinishi bosilganda toldirish ekrani ochilishi	High				
CL-Hp-2	Home attraksionlar	Home page	Attraksionlar nom narx vaqt korinishi Barchasi bosilganda royxat ochilishi	High				
CL-Hp-3	Home yuqori panel	Home page	Tanga soni bildirishnoma ikonasi korinishi ishlashi	Medium				
CL-Hp-4	Home scroll va tariflar	Home page	Vertikal scroll ishlashi tariflar bolimi korinishi	Medium				
CL-Hp-5	Bottom nav	Home page	Balans Chiptalar Profil bosilganda tegishli sahifaga otishi	High				
CL-Ba-1	Balans sahifasi	Balans	Karta va Balansni toldirish tugmasi korinishi	High				
CL-Ba-2	Balansni toldirish	Balans	Click Payme orqali tolov otishi minimal 1 000 maksimal 10 000 000 som	High				Minimal 1 000 Maksimal 10 000 000 som
CL-Ba-3	Karta boshqaruvi	Balans	Virtual va fizik karta qoshilishi karta ochirilishi	High				
CL-Ba-4	Otkazma	Balans	Kartalar orasida otkazma muvaffaqiyatli otishi	High				
CL-Ba-5	Tarix va filtr	Balans	Tranzaksiyalar tarixi korinishi karta va davr bo'yicha filtr ishlashi	High				
CL-Ch-1	Chiptalar sahifasi	Chiptalar	Faol va Yakunlangan tablar ishlashi bosh holatda matn korinishi	High				
CL-Ch-2	Chipta sotib olish	Chiptalar	Attraksion tanlash miqdor va narx hisoblash tolov muvaffaqiyatli otishi	High				
CL-Ch-3	QR kod	Chiptalar	Tolovdan keyin QR kod korinishi chipta Faol tabda korinishi	High				
CL-Ch-4	Tarif sotib olish	Chiptalar	Tariflar royxati ochilishi muvaffaqiyatli sotib olinishi	High				
CL-Pr-1	Profil sahifasi	Profil	Ma'lumotlar korinishi rasm korinishi	High				
CL-Pr-2	Ma'lumot tahrirlash	Profil	Ozgarishlar saqlanishi bosh ism da xabar korinishi	High				
CL-Pr-3	Til va chiqish	Profil	Til ozgarganda ekranlar yangilanishi chiqishda Login ekraniga otishi	High				
CL-Nt-1	Bildirishnomalar	Bildirishnomalar	Royxat korinishi badge ishlashi xabar bosilganda sahifaga otishi	High				
