Checklist ID	Title	Sub model	Description	Priority	Bugs	Bug type	Status	Notes
CL-Ba-1	Balans sahifasiga o'tish	Balans	Bottom nav dan "Balans" bosilganda balans sahifasi ochilishi	High				
CL-Ba-2	"Mening kartalarim" sarlavhasi	Balans	"Mening kartalarim" sarlavhasi to'g'ri ko'rinishi	Medium				
CL-Ba-3	"+ Qo'shish" tugmasi ko'rinishi	Balans	Sarlavha yonida "+ Qo'shish" tugmasi to'g'ri (to'q sariq) rangda ko'rinishi	Medium				
CL-Ba-4	Virtual karta ko'rinishi	Balans	Kartada "Faol emas" belgisi, balans, karta raqami, muddati to'g'ri ko'rinishi	High				
CL-Ba-5	Virtual karta — "Faol emas" holati	Balans	Karta faollashtirilmagan bo'lsa "Faol emas" qizil belgisi ko'rinishi	High				
CL-Ba-6	Virtual karta balansi	Balans	Kartada -10 000 so'm balansi to'g'ri ko'rinishi	High				Abonent to'lovi uchun
CL-Ba-7	Virtual karta raqami	Balans	"№ 100000267" formatida karta raqami to'g'ri ko'rinishi	High				
CL-Ba-8	Virtual karta muddati	Balans	"06/2027" amal qilish muddati to'g'ri ko'rinishi	Medium				
CL-Ba-9	Virtual karta bosilganda	Balans	Kartaga bosilganda karta to'ldirish ekrani ochilishi	High				
CL-Ba-10	Karta gorizontal scroll	Balans	Bir nechta karta bo'lsa gorizontal siljishi ishlashi	Medium				
CL-Ba-11	"+ Qo'shish" — bosilganda	Balans	"+ Qo'shish" bosilganda karta qo'shish oynasi ochilishi	High				
CL-Ba-12	Karta qo'shish — virtual karta	Balans	Virtual kartani tanlanganda virtual karta qo'shilishi	High				
CL-Ba-13	Karta qo'shish — fizik karta	Balans	Fizik kartani tanlaganda karta raqami kiritish maydoni ochilishi	High				
CL-Ba-14	Fizik karta — to'g'ri raqam	Balans	To'g'ri 7 xonali karta raqami kiritilganda karta qo'shilishi	High				
CL-Ba-15	Fizik karta — noto'g'ri raqam	Balans	7 xonadan ko'p yoki kam raqam kiritilganda xato xabari ko'rinishi	High				
CL-Ba-16	Fizik karta — bo'sh maydon	Balans	Karta raqami kiritilmasa xato xabari ko'rinishi	High				Majburiy maydon
CL-Ba-17	Karta o'chirish tugmasi	Balans	Kartaning o'ng yuqori burchagidagi tugma bosilganda tasdiqlash oynasi ochilishi	High				
CL-Ba-18	Karta o'chirish — "Ha"	Balans	"Ha" bosilganda karta ro'yxatdan o'chirilishi	High				
CL-Ba-19	Karta o'chirish — "Yo'q"	Balans	"Yo'q" bosilganda oyna yopilishi va karta o'chirilmasligi	High				
CL-Ba-20	"Balansni to'ldirish" tugmasi ko'rinishi	Balans	Gradiyent ko'k "Balansni to'ldirish" tugmasi to'g'ri ko'rinishi	High				
CL-Ba-21	"Balansni to'ldirish" — bosilganda	Balans	Tugma bosilganda to'ldirish usuli tanlash sahifasi ochilishi	High				
CL-Ba-22	To'ldirish — Click tanlash	Balans	Click to'lov usuli tanlanishi	High				
CL-Ba-23	To'ldirish — Payme tanlash	Balans	Payme to'lov usuli tanlanishi	High				
