Test case ID	Sub model	Description	Priority	Pre-condition	Test steps	Test steps Result	Test data	Expected result	Actual result	Status	Environment	Notes
P-Sm-1	SMS tasdiqlash	SMS tasdiqlash sahifasidagi barcha elementlar to'liq yuklanishi	High	Foydalanuvchi login ekranida telefon raqamini kiritgan bo'lishi va internet yaxshi ishlashi	1) ICE CITY ilovasini oching 2) Login ekranida raqam kiriting 3) "Davom etish" bosing	1) Login sahifasi ochiladi 2) Raqam kiritiladi 3) SMS ekrani ochiladi: sarlavha, raqam, 4 ta OTP maydon, hisoblagich, "Davom etish" ko'rinadi		SMS tasdiqlash sahifasidagi barcha elementlar to'liq ko'rinishi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	
P-Sm-2	SMS tasdiqlash	Telefon raqami yashirilgan holatda ko'rinishi	High	Foydalanuvchi login ekranida raqam kiritgan bo'lishi	1) ICE CITY ilovasini oching 2) +998 90 123 45 67 kiriting 3) "Davom etish" bosing	1) Login ochiladi 2) Raqam kiritiladi 3) "+99890 ***67" formatida yashirilgan raqam ko'rinadi	+998 90 123 45 67	Raqamning o'rta qismi yashirilgan bo'lishi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	
P-Sm-3	SMS tasdiqlash	4 ta OTP maydon ko'rinishi va ishlashi	High	Foydalanuvchi SMS ekraniga o'tgan bo'lishi	1) ICE CITY ilovasini oching 2) Login ekranidan SMS ekraniga o'ting 3) Birinchi OTP maydoniga raqam kiriting	1) Login ochiladi 2) SMS ekrani ochiladi 3) Raqam birinchi maydonga kiritiladi kursor avtomatik ikkinchi maydonga o'tadi		4 ta alohida OTP maydoni ko'rinishi va ishlashi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	
P-Sm-4	SMS tasdiqlash	OTP kiritishda maydonlar orasida avtomatik o'tish	High	Foydalanuvchi SMS ekraniga o'tgan bo'lishi	1) ICE CITY ilovasini oching 2) SMS ekraniga o'ting 3) Birinchi maydonga "1" kiriting	1) Login ochiladi 2) SMS ekrani ochiladi 3) "1" kiritilgach kursor avtomatik 2-maydonga o'tadi	1	Har bir raqamdan keyin kursor keyingi maydonga o'tishi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	
P-Sm-5	SMS tasdiqlash	OTP — Backspace bosilganda oldingi maydonga qaytish	Medium	Foydalanuvchi SMS ekraniga o'tgan bo'lishi	1) ICE CITY ilovasini oching 2) SMS ekraniga o'ting 3) "12" kiriting 4) Backspace bosing	1) Login ochiladi 2) SMS ekrani ochiladi 3) "12" kiritiladi 4) "2" o'chiriladi va kursor 1-maydonga qaytadi		Backspace bosilganda kursor oldingi maydonga qaytishi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	
N-Sm-6	SMS tasdiqlash	OTP maydoniga harf kiritib bo'lmasligi	High	Foydalanuvchi SMS ekraniga o'tgan bo'lishi	1) ICE CITY ilovasini oching 2) SMS ekraniga o'ting 3) OTP maydoniga harf kiritishga urinib ko'ring	1) Login ochiladi 2) SMS ekrani ochiladi 3) Harflar qabul qilinmaydi	abc	OTP maydoni faqat raqam qabul qilishi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	
N-Sm-7	SMS tasdiqlash	Noto'g'ri OTP kod kiritilganda xato xabari ko'rinishi	High	Foydalanuvchi SMS ekraniga o'tgan bo'lishi	1) ICE CITY ilovasini oching 2) SMS ekraniga o'ting 3) Noto'g'ri 4 xonali kod kiriting 4) "Davom etish" bosing	1) Login ochiladi 2) SMS ekrani ochiladi 3) Noto'g'ri kod kiritiladi 4) Xato xabari chiqadi	0000	Noto'g'ri kod haqida xato xabari ko'rinishi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	
P-Sm-8	SMS tasdiqlash	To'g'ri OTP kod kiritilganda Ro'yxatdan o'tish ekraniga o'tish	Critical	Foydalanuvchi SMS ekraniga o'tgan bo'lishi va SMS kelgan bo'lishi	1) ICE CITY ilovasini oching 2) SMS ekraniga o'ting 3) To'g'ri 4 xonali kod kiriting 4) "Davom etish" bosing	1) Login ochiladi 2) SMS ekrani ochiladi 3) To'g'ri kod kiritiladi 4) Ro'yxatdan o'tish ekrani ochiladi	To'g'ri OTP	Ro'yxatdan o'tish ekraniga o'tishi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	
P-Sm-9	SMS tasdiqlash	"Qayta yuborish" hisoblagichi ortga sanashi	High	Foydalanuvchi SMS ekraniga o'tgan bo'lishi	1) ICE CITY ilovasini oching 2) SMS ekraniga o'ting 3) Hisoblagichni kuzating	1) Login ochiladi 2) SMS ekrani ochiladi 3) "Qayta yuborish: 56 sek" ortga sanaydi		Hisoblagich 56 dan 0 gacha ortga sanashi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	
N-Sm-10	SMS tasdiqlash	Hisoblagich tugamaguncha "Qayta yuborish" tugmasi nofaol bo'lishi	Medium	Foydalanuvchi SMS ekraniga o'tgan bo'lishi	1) ICE CITY ilovasini oching 2) SMS ekraniga o'ting 3) Hisoblagich sanayotganda "Qayta yuborish" bosishga urinib ko'ring	1) Login ochiladi 2) SMS ekrani ochiladi 3) Tugma nofaol bosilmaydi		Hisoblagich 0 ga yetmaguncha "Qayta yuborish" nofaol bo'lishi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	
